time21_5,latitude,longitude,halfAngle,speed,type,isMostAccurate,associatedCMEID,note,catalog,featureCode,dataLevel,measurementTechnique,imageType,tilt,minorHalfWidth,speedMeasuredAtHeight,submissionTime,versionId,link
2021-01-27T15:19Z,-11.0,-20.0,10.0,378.0,S,True,2021-01-27T07:09:00-CME-001,This measurement uses STEREO A COR2 imagery in SWPC_CAT to approximate the radial speed based on the best fit. Possible longitudes yielding an appropriate fit ranged from -15 to -25 degrees with speeds ranging from 300 km/s to 440 km/s. SOHO LASCO coronagraphs have data gaps for this event at time of model run.,M2M_CATALOG,null,1,SWPC_CAT,running difference,,,,2021-01-28T14:19Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16386/-1
2021-01-29T00:46Z,-17.0,45.0,5.0,276.0,S,True,2021-01-28T13:24:00-CME-001,,M2M_CATALOG,null,0,StereoCAT,running difference,,,,2021-01-28T20:26Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16390/-1
2021-01-30T06:35Z,-16.0,15.0,22.0,151.0,S,True,2021-01-29T06:09:00-CME-001,,M2M_CATALOG,null,1,null,null,,,,2021-01-31T16:02Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16409/-1
2021-01-29T23:00Z,1.0,39.0,19.0,259.0,S,True,2021-01-29T12:09:00-CME-001,,M2M_CATALOG,null,1,null,null,,,,2021-01-31T16:02Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16408/-1
2021-01-30T04:25Z,4.0,75.0,23.0,329.0,S,True,2021-01-29T16:12:00-CME-001,The longitude of 75 degrees was approximated based on the best possible fit in SOHO and STEREO A difference imagery and suggests a deflection to the east based on the observed source signature.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-05T19:46Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16432/-1
2021-01-31T03:22Z,26.0,-109.0,29.0,250.0,S,True,2021-01-30T05:24:00-CME-001,,M2M_CATALOG,null,0,StereoCAT,direct,,,,2021-01-30T21:13Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16404/-1
2021-01-30T20:52Z,9.0,52.0,20.0,218.0,S,True,2021-01-30T06:24:00-CME-001,"CME is very faint in difference images, best seen in C2.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-01-30T13:50Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16400/-1
2021-02-01T03:50Z,-11.0,104.0,23.0,224.0,S,True,2021-01-31T11:00:00-CME-001,Longitude was approximated using the small eruption signature on the southwestern limb in SDO AIA 304 imagery at 2021-01-31T10:00Z.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-01T14:21Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16412/-1
2021-02-01T09:49Z,26.0,-122.0,22.0,298.0,S,True,2021-01-31T23:12:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-01T17:44Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16414/-1
2021-02-04T11:42Z,8.0,57.0,22.0,205.92,S,True,2021-02-03T12:54:00-CME-001,SWPC_CAT was used to approximate the longitude of this CME using SOHO LASCO C3 and STEREO A COR2 imagery.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-16T19:57Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16425/-1
2021-02-04T15:54Z,11.0,58.0,16.0,460.0,S,True,2021-02-04T07:00:00-CME-001,"No definitive source, possibly due to SDO/AIA data gap from 2021-02-04T06:47Z to 2021-02-04T07:57Z.  SWPC_CAT analyses indicate a narrow CME with half-width between 10 and 20 degrees, latitude 9 degrees, and speed 475 km/s, but indicate some uncertainty in longitude, ranging between 58 and 85 degrees.  This range of longitudes make it unlikely that any significant impacts will occur.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-04T20:42Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16427/-1
2021-02-05T05:16Z,9.0,-87.0,21.0,278.0,S,True,2021-02-04T17:12:00-CME-001,"SWPC_CAT analysis yields longitude -87 degrees, but this is uncertain due to uncertainty in source region and single-spacecraft analysis.",M2M_CATALOG,null,1,SWPC_CAT,running difference,,,,2021-02-11T14:36Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16437/-1
2021-02-05T19:15Z,15.0,52.0,10.0,250.0,S,True,2021-02-05T05:24:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-05T16:31Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16430/-1
2021-02-10T00:56Z,-1.0,166.0,17.5,252.0,S,True,2021-02-09T14:24:00-CME-001,,M2M_CATALOG,null,1,null,null,,,,2021-02-09T21:36Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16452/-1
2021-02-12T10:22Z,2.0,-153.0,11.0,135.0,S,True,2021-02-11T09:09:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-11T21:00Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16458/-1
2021-02-12T05:22Z,-24.0,-110.0,11.0,364.0,S,True,2021-02-11T21:09:00-CME-001,Utilized SOHO LASCO C2/C3 imagery downlinked since previous analysis.,M2M_CATALOG,null,1,SWPC_CAT,running difference,,,,2021-02-12T14:38Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16462/-1
2021-02-13T06:09Z,-8.0,58.0,29.0,249.0,S,True,2021-02-12T12:54:00-CME-001,This measurement uses additional SOHO imagery not available in real-time.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-15T13:21Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16467/-1
2021-02-13T15:53Z,-3.0,90.0,15.0,445.0,S,True,2021-02-13T06:30:00-CME-001,The CME was measured using the black/white boundary leading edge.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2021-02-15T18:10Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16472/-1
2021-02-16T03:43Z,2.0,-115.0,10.0,282.9,S,True,2021-02-15T14:48:00-CME-001,SWPC_CAT analysis including STEREO-A COR2 data not available during real-time analysis.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-19T18:51Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16498/-1
2021-02-16T19:14Z,-29.0,-42.0,15.0,885.0,C,True,2021-02-16T15:36:00-CME-001,SWPC_CAT analysis used SOHO LASCO data not available during real-time.,M2M_CATALOG,null,1,SWPC_CAT,running difference,,,,2021-02-17T17:02Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16480/-1
2021-02-17T00:26Z,-3.0,-31.0,8.0,420.0,S,True,2021-02-16T17:12:00-CME-001,This measurement with SWPC_CAT is a preliminary analysis based on the faint leading edge of this CME seen in only 4 frames of SOHO LASCO C2 difference imagery.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-17T21:15Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16484/-1
2021-02-18T03:13Z,3.0,105.0,15.0,197.0,S,True,2021-02-17T09:12:00-CME-001,,M2M_CATALOG,null,0,null,running difference,,,,2021-02-19T19:46Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16491/-1
2021-02-18T14:51Z,-20.0,-35.0,7.0,284.0,S,True,2021-02-18T06:39:00-CME-001,"Analysis used the ""Select Frameseries Range"" option for COR2A only. Used value of +63 for the angle from plane of sky.",M2M_CATALOG,null,0,Plane-of-sky,direct,,,,2021-02-19T18:20Z,5,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16495/-1
2021-02-20T14:36Z,1.0,102.0,25.0,122.0,S,True,2021-02-19T10:12:00-CME-001,CME is very faint in difference images.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-20T13:41Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16501/-1
2021-02-20T18:33Z,-18.0,-31.0,50.0,680.0,C,True,2021-02-20T11:36:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-21T14:45Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16509/-1
2021-02-21T08:17Z,-17.0,-20.0,22.0,501.0,C,True,2021-02-21T01:48:00-CME-001,"This SWPC_CAT measurement approximated the longitude of the CME based on an appropriate lemniscate fit with SOHO LASCO C2/C3 imagery and STEREO A COR2 difference imagery. The half-width of 22 degrees chosen is based on the faint CME structure visible in STEREO A COR2, which is notably wider than the outline visible in SOHO LASCO imagery.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-24T16:40Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16526/-1
2021-02-21T23:00Z,7.0,-103.0,30.0,321.0,S,True,2021-02-21T08:24:00-CME-001,"Longitude is based off of the best fit between SOHO LASCO C3 and STEREO-A COR2 in difference imagery. The source location is uncertain, but field line movement seen off of the limb in SDO/AIA 171 suggests the source could be beyond the limb from SDO/AIA's point of view.",M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2021-02-23T15:46Z,4,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16514/-1
2021-02-23T02:52Z,-37.0,-30.0,13.5,257.0,S,True,2021-02-22T13:25:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-23T00:58Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16516/-1
2021-02-25T14:40Z,7.3,-49.1,27.5,153.0,S,True,2021-02-24T15:27:00-CME-001,CME front is very difficult to see in COR2A difference imagery. Used IDL SWPC_CAT and set image at 2021-02-24T19:23Z in COR2A as the background to heighten the contrast of the faint halo CME.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-02-26T10:21Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16533/-1
2021-02-26T22:13Z,-5.0,46.0,18.0,260.0,S,True,2021-02-26T08:53:00-CME-001,The fainter leading edge seen in difference imagery was used to measure this CME.,M2M_CATALOG,LE,1,null,direct,,,,2021-02-26T20:50Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16538/-1
2021-02-28T05:20Z,4.0,70.0,28.0,356.0,S,True,2021-02-27T17:36:00-CME-001,Measured using additional data not available during real-time analysis.  There appears to be a slower-moving feature superposed on the interior portion of the CME in SOHO LASCO imagery.  (Measured by Carina),M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-01T17:52Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16555/-1
2021-03-01T03:54Z,-6.0,84.0,26.0,260.0,S,True,2021-02-28T09:12:00-CME-001,Analysis done with Cor2A and only two C3 frames due to a data gap.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,11.0,2021-02-28T20:47Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16546/-1
2021-03-02T00:55Z,-3.0,68.0,24.0,350.0,S,True,2021-03-01T15:36:00-CME-001,Preliminary analysis based on data available during real-time.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-01T18:00Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16557/-1
2021-03-02T17:27Z,10.0,180.0,27.0,273.0,S,True,2021-03-02T00:53:00-CME-001,"Because of extreme faintness of the halo in SOHO LASCO/C2, these parameters are approximate.",M2M_CATALOG,null,1,SWPC_CAT,running difference,,,,2021-03-02T18:05Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16564/-1
2021-03-02T23:28Z,-9.0,90.0,25.0,342.0,S,True,2021-03-02T14:53:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-02T20:51Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16566/-1
2021-03-06T09:14Z,3.0,-86.0,23.0,228.0,S,True,2021-03-05T17:24:00-CME-001,"CME is faint, does not have a well-defined leading edge in C3, and cannot be seen in Cor2A images.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-06T14:17Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16581/-1
2021-03-09T23:41Z,-2.0,-90.0,11.0,388.0,S,True,2021-03-09T15:53:00-CME-001,"SOHO LASCO imagery available for more accurate longitude, but still difficult to see in difference imagery.",M2M_CATALOG,LE,1,SWPC_CAT,direct,,,,2021-03-10T17:05Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16594/-1
2021-03-12T22:55Z,1.0,0.0,11.0,255.0,S,True,2021-03-12T09:53:00-CME-001,"SWPC_CAT analysis using mostly STEREO A COR2 data, only visible much later in SOHO LASCO/C2 as the slow CME begins to emerge from behind the occulting disk.",M2M_CATALOG,null,1,SWPC_CAT,running difference,,,,2021-03-16T14:57Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16606/-1
2021-03-16T19:28Z,-10.0,165.0,31.0,514.0,C,True,2021-03-16T11:09:00-CME-001,"Multiple SWPC_CAT measurements using different features yielded longitudes between 154 and 173, latitudes between -7 and -13, and speed 500-550 km/s, due to the width and complexity of the CME structure.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-17T17:42Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16612/-1
2021-03-18T15:21Z,23.0,-115.0,12.0,185.0,S,True,2021-03-17T20:36:00-CME-001,The leading brightest point was used to measure this CME. It is seen as a bright plume-like material in SOHO/LASCO C2. The lat/lon is a rough estimate based on best fit and signatures seen in STA EUVI imagery.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2021-03-19T17:06Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16621/-1
2021-03-18T14:25Z,8.0,-34.0,16.0,296.0,S,True,2021-03-18T02:00:00-CME-001,The CME is only visible in C2 imagery. The clearest portion of the leading edge was used to measure the CMEs speed.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2021-03-18T19:32Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16625/-1
2021-03-18T16:17Z,-38.0,-95.0,17.0,336.0,S,True,2021-03-18T05:09:00-CME-001,"This CME was difficult to measure due to the way the filament deflected during the eruption. It appeared as an unraveling eruption, which made the feature move in latitude quite a bit.",M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2021-03-18T19:21Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16623/-1
2021-03-20T11:59Z,6.0,-20.0,35.0,422.0,S,True,2021-03-20T00:48:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-20T13:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16635/-1
2021-03-21T05:50Z,13.0,-40.0,19.0,205.0,S,True,2021-03-20T09:12:00-CME-001,"CME is faint, cannot be seen clearly in C3 and Cor2A difference images.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-21T12:43Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16641/-1
2021-03-22T16:34Z,10.0,24.0,30.0,281.0,S,True,2021-03-21T23:24:00-CME-001,,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2021-03-22T21:13Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16646/-1
2021-03-22T11:57Z,-23.0,-43.0,20.0,406.0,S,True,2021-03-22T03:12:00-CME-001,SOHO LASCO C2 and C3 were primarily used to measure this CME as it is very faint and barely detected in STEREO-A COR2 imagery.,M2M_CATALOG,LE,0,null,running difference,,,,2021-03-22T19:11Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16644/-1
2021-03-24T12:45Z,9.0,46.0,21.0,237.0,S,True,2021-03-23T16:00:00-CME-001,Two-spacecraft SWPC_CAT analysis performed using available coronagraph data beginning 2021-03-24T02:53Z.  Slow CME with no anticipated mission impacts.,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-24T14:44Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16654/-1
2021-03-25T12:55Z,-24.0,-32.0,10.0,378.0,S,True,2021-03-25T04:36:00-CME-001,"There is a small northern extension of the southern coronal hole next to the eruption location as seen in STEREO-A EUVI 195. It is possible this is causing deflection of the CME, providing the different Lat/Long in this case. The Lat/Long is narrowed down by the best fit possible in SWPC_CAT. Multiple measurements show this CME has a potential velocity between 367 km/s and 389 km/s depending on the feature tracked.",M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2021-03-25T13:31Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16661/-1
2021-03-27T03:47Z,-5.0,-140.0,20.0,164.0,S,True,2021-03-26T01:38:00-CME-001,,M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-27T13:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16669/-1
2021-03-27T01:22Z,-9.0,168.0,27.5,231.0,S,True,2021-03-26T10:38:00-CME-001,"CME is faint in C2/C3 difference images. In Cor2A, it is seen just south of the 2021-03-26T01:38Z CME, and is difficult to distinguish the leading edge.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-27T13:02Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16667/-1
2021-03-30T23:24Z,0.0,-26.0,11.0,369.0,S,True,2021-03-30T17:38:00-CME-001,"Initial results, using only STEREO A COR2 imagery indicated longitudes between -25 and +15 and speeds between 400 km/s and 175 km/s, respectively.  The reported measurement utilized data from both STEREO A COR2 and SOHO LASCO/C2 following data downlinks.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-03-31T18:21Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16677/-1
2021-04-07T05:35Z,1.0,-150.0,21.0,262.0,S,True,2021-04-06T19:00:00-CME-001,A faint CME obscured by the bright streamer in the region. CME analysis based on SWPC_CAT measurements.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,0.0,2021-04-07T17:15Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16694/-1
2021-04-11T00:52Z,-4.0,19.0,28.0,239.0,S,True,2021-04-10T06:53:00-CME-001,The latitude and longitude were adjusted for this CME based on SWPC_CAT analysis with 2 coronagraphs.,M2M_CATALOG,LE,1,null,direct,,,,2021-04-12T21:51Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16714/-1
2021-04-12T11:41Z,6.0,-110.0,19.0,298.0,S,True,2021-04-11T20:00:00-CME-001,Measured dark/light boundary just behind the shock front.,M2M_CATALOG,BW,0,SWPC_CAT,running difference,,,,2021-04-12T15:47Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16709/-1
2021-04-12T20:16Z,-10.0,-110.0,25.0,447.0,S,True,2021-04-12T10:53:00-CME-001,,M2M_CATALOG,BW,0,SWPC_CAT,running difference,,,,2021-04-12T16:28Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16711/-1
2021-04-13T10:55Z,-7.0,-134.0,13.0,295.0,S,True,2021-04-13T00:53:00-CME-001,The latitude and longitude are based on the best fit between available coronagraph imager in SOHO LASCO C2/C3 and STEREO-A COR2. No source location was identified.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2021-04-13T18:26Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16720/-1
2021-04-14T00:44Z,2.0,179.0,21.0,323.0,S,True,2021-04-13T11:53:00-CME-001,,M2M_CATALOG,null,1,SWPC_CAT,running difference,,,,2021-04-14T13:45Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16724/-1
2021-04-16T19:44Z,3.0,-134.0,10.0,324.0,S,True,2021-04-16T10:23:00-CME-001,"Very faint in SOHO LASCO/C2, easier to see in STEREO A COR2.",M2M_CATALOG,null,0,SWPC_CAT,running difference,,,,2021-04-16T17:15Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16732/-1
2021-04-17T20:42Z,-8.0,-125.0,38.0,882.0,C,True,2021-04-17T16:36:00-CME-001,Remeasured shock front using STEREO A COR2 Science Data,M2M_CATALOG,SH,2,StereoCAT,direct,,,,2021-04-21T21:34Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16769/-1
2021-04-19T05:46Z,10.0,23.0,21.0,161.0,S,True,2021-04-18T02:09:00-CME-001,"The CME is very faint and it is hard to track any feature in the difference imaging across C3 & STA, but STEREO_CAT measurement using C2 & STA suggests the CME may impact STB. (Chigo, 2021-04-19)",M2M_CATALOG,null,0,StereoCAT,direct,,,,2021-04-21T18:26Z,3,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16767/-1
2021-04-19T21:12Z,-2.0,-90.0,26.0,299.0,S,True,2021-04-19T08:48:00-CME-001,,M2M_CATALOG,LE,0,null,running difference,,,0.0,2021-04-19T20:56Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16756/-1
2021-04-20T06:38Z,-7.0,-37.0,28.0,583.0,C,True,2021-04-20T00:12:00-CME-001,CME parameters determined from SWPC_CAT analysis using C3 and COR2A images.,M2M_CATALOG,LE,0,null,running difference,,,,2021-04-20T16:42Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16760/-1
2021-04-22T02:15Z,8.0,70.0,18.0,339.0,S,True,2021-04-21T16:12:00-CME-001,Measurements using SWPC_CAT yielded more equatorial latitudes (likely due to the southern deflection of the AR2817 eruption and the northern deflection of the AR2815 eruption). The CME is best seen in C2 difference imagery.,M2M_CATALOG,LE,0,SWPC_CAT,running difference,,,,2021-04-23T14:01Z,1,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16779/-1
2021-04-22T09:37Z,-13.0,-8.0,30.0,803.0,C,True,2021-04-22T05:23:00-CME-001,Measured using SOHO LASCO/C3 imagery and three frames of STEREO A COR2 imagery before a four-hour data gap.,M2M_CATALOG,null,1,SWPC_CAT,running difference,,,,2021-04-22T16:31Z,2,https://webtools.ccmc.gsfc.nasa.gov/DONKI/view/CMEAnalysis/16774/-1
